Group variable,n1 (+),n2 (-),"Death-free days (+), Median[IQR]","Death-free days (-), Median[IQR]",U statistic,P value
MMI > 0,31,21, 14 [ 8.5- 74], 3.6e+02 [ 23- 3.6e+02],-3.3, 0.0011
ARDS,26,26, 16 [ 9.2- 34], 1.9e+02 [ 15- 3.6e+02],-2.1, 0.037
Gender (male),24,28, 77 [ 15- 3.6e+02], 16 [ 8.8- 2.4e+02], 2, 0.047
Immunosuppressed,20,32, 16 [ 11- 77], 53 [ 13- 3.6e+02],-1.4, 0.16
Malignancy,13,39, 15 [ 14- 24], 69 [ 9.5- 3.6e+02],-1.1, 0.27
Piperacillin-tazobactam,31,21, 17 [ 12- 2.4e+02], 72 [ 11- 3.6e+02],-1, 0.31
Diabetes,18,34, 20 [ 10- 1.3e+02], 31 [ 11- 3.6e+02],-0.98, 0.33
Vancomycin,28,24, 16 [ 11- 2.8e+02], 74 [ 13- 3.6e+02],-0.95, 0.34
Azithromycin,9,43, 2.4e+02 [ 14- 3.6e+02], 24 [ 11- 3.1e+02], 0.82, 0.41
Ceftriaxone,14,38, 90 [ 14- 3.6e+02], 20 [ 11- 3.3e+02], 0.81, 0.42
Septic shock,28,24, 20 [ 10- 3.6e+02], 74 [ 12- 3.6e+02],-0.73, 0.47
Sepsis-3,34,18, 24 [ 14- 3.6e+02], 43 [ 7.5- 3.4e+02], 0.69, 0.49
Ciprofloxacin,12,40, 20 [ 12- 3.6e+02], 30 [ 11- 3.6e+02],-0.098, 0.92
