Variable 1,Variable 2,Median[IQR] (V1),Median[IQR] (V2),Spearman corr.,P value
Dominance,Simpson (D), 0.032 [ 0.021- 0.06], 32 [ 17- 49],-1.0,0.0
Simpson (D),Dominance, 32 [ 17- 49], 0.032 [ 0.021- 0.06],-1.0,0.0
ACE (R),Chao1 (R), 1e+02 [ 76- 1.3e+02], 1e+02 [ 76- 1.3e+02],0.9997963757395003,9.889768779644385e-85
Chao1 (R),ACE (R), 1e+02 [ 76- 1.3e+02], 1e+02 [ 76- 1.3e+02],0.9997963757395003,9.889768779644385e-85
Fisher (D),ACE (R), 17 [ 11- 23], 1e+02 [ 76- 1.3e+02],0.998552036199095,7.266470572934874e-64
ACE (R),Fisher (D), 1e+02 [ 76- 1.3e+02], 17 [ 11- 23],0.998552036199095,7.266470572934874e-64
Chao1 (R),Fisher (D), 1e+02 [ 76- 1.3e+02], 17 [ 11- 23],0.9981673796079491,2.323533939012164e-61
Fisher (D),Chao1 (R), 17 [ 11- 23], 1e+02 [ 76- 1.3e+02],0.9981673796079491,2.323533939012164e-61
Dominance,Shannon (D), 0.032 [ 0.021- 0.06], 5.8 [ 4.7- 6.2],-0.9643438914027149,6.0376261540003066e-30
Simpson (D),Shannon (D), 32 [ 17- 49], 5.8 [ 4.7- 6.2],0.9643438914027149,6.0376261540003066e-30
Shannon (D),Dominance, 5.8 [ 4.7- 6.2], 0.032 [ 0.021- 0.06],-0.9643438914027149,6.0376261540003066e-30
Shannon (D),Simpson (D), 5.8 [ 4.7- 6.2], 32 [ 17- 49],0.9643438914027149,6.0376261540003066e-30
Pielou (E),Dominance, 0.84 [ 0.77- 0.89], 0.032 [ 0.021- 0.06],-0.9058823529411766,6.501402515653622e-20
Pielou (E),Simpson (D), 0.84 [ 0.77- 0.89], 32 [ 17- 49],0.9058823529411766,6.501402515653622e-20
Simpson (D),Pielou (E), 32 [ 17- 49], 0.84 [ 0.77- 0.89],0.9058823529411766,6.501402515653622e-20
Dominance,Pielou (E), 0.032 [ 0.021- 0.06], 0.84 [ 0.77- 0.89],-0.9058823529411766,6.501402515653622e-20
Shannon (D),Fisher (D), 5.8 [ 4.7- 6.2], 17 [ 11- 23],0.8615384615384616,4.90760758851729e-16
Fisher (D),Shannon (D), 17 [ 11- 23], 5.8 [ 4.7- 6.2],0.8615384615384616,4.90760758851729e-16
Pielou (E),Simpson (E), 0.84 [ 0.77- 0.89], 0.28 [ 0.24- 0.4],0.8535746606334842,1.7543294758536835e-15
Simpson (E),Pielou (E), 0.28 [ 0.24- 0.4], 0.84 [ 0.77- 0.89],0.8535746606334842,1.7543294758536835e-15
Shannon (D),Chao1 (R), 5.8 [ 4.7- 6.2], 1e+02 [ 76- 1.3e+02],0.8526437251893825,2.026043655298505e-15
Chao1 (R),Shannon (D), 1e+02 [ 76- 1.3e+02], 5.8 [ 4.7- 6.2],0.8526437251893825,2.026043655298505e-15
ACE (R),Shannon (D), 1e+02 [ 76- 1.3e+02], 5.8 [ 4.7- 6.2],0.8518552036199095,2.2871008015725136e-15
Shannon (D),ACE (R), 5.8 [ 4.7- 6.2], 1e+02 [ 76- 1.3e+02],0.8518552036199095,2.2871008015725136e-15
Shannon (D),Pielou (E), 5.8 [ 4.7- 6.2], 0.84 [ 0.77- 0.89],0.8126696832579187,4.4477449535401145e-13
Pielou (E),Shannon (D), 0.84 [ 0.77- 0.89], 5.8 [ 4.7- 6.2],0.8126696832579187,4.4477449535401145e-13
Dominance,Fisher (D), 0.032 [ 0.021- 0.06], 17 [ 11- 23],-0.7403619909502263,5.322402054141206e-10
Fisher (D),Dominance, 17 [ 11- 23], 0.032 [ 0.021- 0.06],-0.7403619909502263,5.322402054141206e-10
Fisher (D),Simpson (D), 17 [ 11- 23], 32 [ 17- 49],0.7403619909502263,5.322402054141206e-10
Simpson (D),Fisher (D), 32 [ 17- 49], 17 [ 11- 23],0.7403619909502263,5.322402054141206e-10
Chao1 (R),Simpson (D), 1e+02 [ 76- 1.3e+02], 32 [ 17- 49],0.7281612708033509,1.4014792319541074e-09
Dominance,Chao1 (R), 0.032 [ 0.021- 0.06], 1e+02 [ 76- 1.3e+02],-0.7281612708033509,1.4014792319541074e-09
Simpson (D),Chao1 (R), 32 [ 17- 49], 1e+02 [ 76- 1.3e+02],0.7281612708033509,1.4014792319541074e-09
Chao1 (R),Dominance, 1e+02 [ 76- 1.3e+02], 0.032 [ 0.021- 0.06],-0.7281612708033509,1.4014792319541074e-09
Dominance,ACE (R), 0.032 [ 0.021- 0.06], 1e+02 [ 76- 1.3e+02],-0.7268778280542987,1.5470811449778465e-09
ACE (R),Dominance, 1e+02 [ 76- 1.3e+02], 0.032 [ 0.021- 0.06],-0.7268778280542987,1.5470811449778465e-09
Simpson (D),ACE (R), 32 [ 17- 49], 1e+02 [ 76- 1.3e+02],0.7268778280542987,1.5470811449778465e-09
ACE (R),Simpson (D), 1e+02 [ 76- 1.3e+02], 32 [ 17- 49],0.7268778280542987,1.5470811449778465e-09
Simpson (D),Simpson (E), 32 [ 17- 49], 0.28 [ 0.24- 0.4],0.6607239819004526,1.3184197826974187e-07
Simpson (E),Simpson (D), 0.28 [ 0.24- 0.4], 32 [ 17- 49],0.6607239819004526,1.3184197826974187e-07
Simpson (E),Dominance, 0.28 [ 0.24- 0.4], 0.032 [ 0.021- 0.06],-0.6607239819004526,1.3184197826974187e-07
Dominance,Simpson (E), 0.032 [ 0.021- 0.06], 0.28 [ 0.24- 0.4],-0.6607239819004526,1.3184197826974187e-07
Simpson (E),Shannon (D), 0.28 [ 0.24- 0.4], 5.8 [ 4.7- 6.2],0.5078733031674209,0.0001421878709201429
Shannon (D),Simpson (E), 5.8 [ 4.7- 6.2], 0.28 [ 0.24- 0.4],0.5078733031674209,0.0001421878709201429
Pielou (E),Fisher (D), 0.84 [ 0.77- 0.89], 17 [ 11- 23],0.47366515837104073,0.0004468127031635631
Fisher (D),Pielou (E), 17 [ 11- 23], 0.84 [ 0.77- 0.89],0.47366515837104073,0.0004468127031635631
Chao1 (R),Pielou (E), 1e+02 [ 76- 1.3e+02], 0.84 [ 0.77- 0.89],0.4550781693058228,0.0007930516227468215
Pielou (E),Chao1 (R), 0.84 [ 0.77- 0.89], 1e+02 [ 76- 1.3e+02],0.4550781693058228,0.0007930516227468215
Pielou (E),ACE (R), 0.84 [ 0.77- 0.89], 1e+02 [ 76- 1.3e+02],0.4546606334841629,0.0008030434659366559
ACE (R),Pielou (E), 1e+02 [ 76- 1.3e+02], 0.84 [ 0.77- 0.89],0.4546606334841629,0.0008030434659366559
MMI,Death-free days, 0.31 [-0.24- 1.3], 24 [ 11- 3.6e+02],-0.4340605231176672,0.0013046947950147946
Death-free days,MMI, 24 [ 11- 3.6e+02], 0.31 [-0.24- 1.3],-0.4340605231176672,0.0013046947950147946
MMI,ICU-free days, 0.31 [-0.24- 1.3], 5 [ 0- 19],-0.42188908899879674,0.001838420129093832
ICU-free days,MMI, 5 [ 0- 19], 0.31 [-0.24- 1.3],-0.4218890889987968,0.0018384201290938323
