SampleID,Enterococcaceae,Staphylococcaceae,Enterobacteriaceae,Bifidobacteriaceae,Bacteroidaceae,Streptococcaceae,Rhizobiaceae,Tannerellaceae,Firmicutes,Prevotellaceae,Lactobacillaceae,Lachnospiraceae,Ruminococcaceae,Moraxellaceae,FamilyXI,Rikenellaceae,Pseudomonadaceae,Pasteurellaceae,Erysipelatoclostridiaceae,Micrococcaceae,Oscillospiraceae,Neisseriaceae,Desulfovibrionaceae,Gemellaceae,Atopobiaceae,Acidaminococcaceae,Akkermansiaceae,Porphyromonadaceae,Veillonellaceae,Campylobacteraceae,Corynebacteriaceae,Monoglobaceae,Sutterellaceae,Cyanobacteria,Propionibacteriaceae,Peptostreptococcaceae,[Eubacterium] coprostanoligenes group,Erysipelotrichaceae,Clostridiaceae,Xanthomonadaceae,Marinifilaceae,Comamonadaceae,Proteobacteria,Flavobacteriaceae,Bacteroidota,Saccharimonadaceae,Sphingomonadaceae,Barnesiellaceae,Leuconostocaceae,Anaerovoracaceae,Mitochondria,Weeksellaceae,Rhodobacteraceae,Caulobacteraceae,Fusobacteriaceae,Hungateiclostridiaceae,[Clostridium] methylpentosum group,Synergistaceae,Xanthobacteraceae,Oxalobacteraceae,UCG-011,Yersiniaceae,Marinilabiliaceae,Bacillaceae,Aerococcaceae,Nocardiaceae,Patescibacteria,Christensenellaceae,Sphingobacteriaceae,Eggerthellaceae,Beijerinckiaceae,Exiguobacteraceae,Peptococcaceae,Defluviitaleaceae,Eubacteriaceae,Carnobacteriaceae,AKYH767,LWQ8,Actinobacteriota,Crocinitomicaceae,Deinococcaceae,Butyricicoccaceae,Succinivibrionaceae,Spirosomaceae,Actinomycetaceae,Acidobacteriaceae,Planococcaceae,Methanosarcinaceae,Alcaligenaceae,Cellvibrionaceae,Ethanoligenenaceae,Intrasporangiaceae,Sporichthyaceae,Acidobacteriota,Myxococcota,Leptotrichiaceae,Bdellovibrionota,Burkholderiaceae,Microscillaceae,Acetobacteraceae,Myxococcaceae,Pirellulaceae,Anaerofustaceae,Rubritaleaceae,SC-I-84,Methanobacteriaceae,Morganellaceae,Halieaceae,Thermaceae,UCG-010,Coriobacteriaceae,Pseudonocardiaceae,Chitinophagaceae,cvE6,Spirochaetaceae,Rhodocyclaceae,Nakamurellaceae,Microbacteriaceae,Ilumatobacteraceae,Verrucomicrobiaceae,Iamiaceae,Sulfurospirillaceae,Selenomonadaceae,Holophagaceae,Victivallaceae,Methanomassiliicoccaceae,vadinBE97,67-14
195S1,0,0,9182,0,0,14,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197S1,212,0,0,0,17829,0,0,395,260,379,0,1705,511,0,578,248,0,0,34,0,1487,0,0,0,0,656,0,150,442,0,0,0,1136,0,0,7,0,75,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198S1,0,0,65,0,6129,0,0,377,1053,20,0,890,509,0,109,812,0,0,285,0,1696,0,91,0,0,54,0,72,0,61,0,0,502,29,0,22,0,32,0,0,212,0,0,0,0,0,0,416,0,44,0,0,0,0,370,29,37,0,0,0,47,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
200S1,48,0,418,56,5288,0,0,239,0,0,0,310,0,6,1687,290,0,0,0,0,35,0,87,0,0,0,0,399,2302,63,34,0,337,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201S1,0,0,0,0,4646,15,0,180,211,0,8,2528,1138,7,9599,840,0,0,301,0,552,0,0,0,0,91,0,510,373,807,12,0,294,0,0,30,128,213,2243,0,532,0,3,0,0,0,0,478,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,52,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,43,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202S1,0,103,0,0,7787,5,0,0,21,0,0,2233,398,9,4148,0,0,0,0,0,56,0,0,0,0,0,1608,250,27,389,2815,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,0,17,0,0,0,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,59,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203S1,0,0,289,11,2014,20,0,0,43,0,9,1965,517,0,0,406,0,0,79,0,39,0,0,0,0,2965,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204S1,0,48,21017,3504,0,1470,0,0,29,0,30017,34,0,0,0,0,0,0,0,22,0,0,0,0,24,0,0,0,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205S1,0,0,0,0,12354,0,0,945,1155,0,0,2236,2141,0,166,4624,0,0,60,0,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,530,0,0,218,0,0,0,0,0,0,0,0,20,0,0,0,0,0,47,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207S1,1565,10816,1465,350,4844,2528,111,428,88,0,10189,1488,37,0,5855,843,30,0,0,0,493,0,0,0,0,58,0,268,1699,0,607,0,134,0,28,381,0,133,38,22,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,4
