SampleID,Enterococcus,Staphylococcus,Enterobacteriaceae,Bacteroides,Streptococcus,Parabacteroides,Lactobacillus,UBA1819,Acinetobacter,Finegoldia,Alistipes,Fenollaria,Pseudomonas,Erysipelatoclostridium,Bilophila,Phascolarctobacterium,Eisenbergiella,Akkermansia,Porphyromonas,Veillonella,Anaerococcus,Campylobacter,Bifidobacterium,Sutterella,Peptoniphilus,Hungatella,Ezakiella,Dialister,Faecalibacterium,[Clostridium] innocuum group,UCG-002,Colidextribacter,Flavonifractor,NK4A214 group,Odoribacter,Parasutterella,Lachnoclostridium,Barnesiella,Intestinimonas,Family XIII AD3011 group,Anaerostipes,[Eubacterium] hallii group,DTU089,Oscillibacter,Ruminococcus,Frisingicoccus,Butyricicoccus
195S1,0,0,9182,0,14,0,606,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197S1,212,0,0,17829,0,395,0,355,0,180,248,0,0,34,0,656,1005,0,150,0,370,0,0,1136,0,0,0,307,0,75,0,0,394,0,50,0,0,0,72,0,27,0,0,671,0,8,53
198S1,0,0,65,6129,0,377,0,63,0,0,812,109,0,0,15,54,40,0,72,0,0,61,0,495,0,0,0,0,0,32,0,98,60,68,212,0,0,416,190,36,0,0,14,16,162,0,0
200S1,48,0,418,5288,0,239,0,0,6,235,290,168,0,0,87,0,0,0,399,0,651,63,56,337,473,0,127,2091,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201S1,0,0,0,4646,15,180,8,10,7,2367,840,2337,0,301,0,91,16,0,510,13,1716,807,0,240,2067,0,424,204,499,0,153,67,47,119,519,54,138,283,0,0,42,209,9,0,72,26,43
202S1,0,103,0,7787,5,0,0,319,9,15,0,136,0,0,0,0,244,1608,250,0,3601,389,0,0,360,0,15,27,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,59
203S1,0,0,289,2014,20,0,9,377,0,0,406,0,0,79,0,2965,0,0,0,0,0,0,11,0,0,0,0,0,0,38,0,0,39,0,0,0,209,0,0,0,31,0,0,0,92,133,0
204S1,0,48,18311,0,1459,0,30017,0,0,0,0,0,0,0,0,0,0,0,0,3026,0,0,3504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205S1,0,0,0,12354,0,945,0,1386,0,128,4624,0,0,0,0,0,34,0,0,0,31,0,0,0,7,406,0,0,9,451,0,274,173,0,218,0,121,0,34,20,0,0,45,0,182,112,0
207S1,1565,10816,1341,4844,2528,428,10189,26,0,1776,843,0,23,0,0,58,142,0,268,660,2886,0,350,134,1193,116,0,1039,0,61,0,0,17,30,7,0,29,0,0,0,0,34,0,0,0,0,0
208S1,9224,0,46064,51,0,0,52,0,19,0,0,0,0,501,0,0,0,0,0,0,0,16,41,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209S1,2589,68,2783,101228,0,0,8,0,9,353,0,0,0,0,0,0,0,2290,16,0,1020,3857,20,0,474,53,0,0,0,0,0,0,707,0,0,0,49,0,0,0,231,66,120,112,0,0,48
220S1,0,1296,0,1043,0,1559,637,0,967,0,0,0,141,114,0,0,0,154,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
210S1,0,7,0,22938,0,756,0,2912,0,5,0,0,0,156,0,2023,17,0,0,0,0,147,0,0,0,81,0,0,0,166,0,65,2491,0,0,2269,242,0,0,0,31,0,11,5,0,0,0
211S1,133821,667,0,651,156,0,1189,298,479,0,2289,0,139,0,169,0,0,390,0,4859,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
212S1,15,12,622,21139,63,1948,46,246,0,430,1871,0,197,59,261,0,451,469,103,0,31,0,12,0,51,387,0,19,358,114,573,1051,54,0,736,918,12,0,168,156,0,11,30,50,688,185,26
213S1,0,0,166,7719,48,362,0,0,0,0,183,0,0,0,0,0,0,0,0,45,0,0,330,270,0,0,0,0,0,47,0,0,0,0,55,0,108,0,24,0,0,0,0,0,0,0,18
214S1,197,0,159,1390,0,182,12,0,0,128,64,281,0,0,25,0,0,7,63,21,542,354,111,166,46,0,18,705,36,0,23,86,26,0,92,0,134,128,0,24,0,18,0,0,0,0,27
215S1,308,0,414,3775,67,116,0,0,0,51,409,399,0,0,37,0,42,0,1124,0,37,5758,0,0,117,0,207,590,58,0,356,24,0,35,115,0,7,0,20,56,0,0,0,41,87,0,0
216S1,9,5,1460,6462,108,402,27,105,0,22,0,0,0,0,24,94,0,0,12,15,0,0,0,0,16,0,0,0,0,6,498,30,16,0,0,0,41,0,0,0,0,0,0,0,0,23,0
217S1,94,0,138,8476,45,1781,0,53,0,0,6036,0,0,19,195,0,0,351,0,181,0,0,0,0,0,66,0,300,0,24,409,48,40,192,38,0,0,0,8,144,34,0,0,21,309,18,13
218S1,0,1340,0,889,0,0,0,16,1925,4150,0,0,110,336,0,0,0,64,0,0,12661,351,0,0,700,0,0,261,0,0,69,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
219S1,0,3179,0,93520,3189,9081,1152,0,1403,8147,1094,1258,157,0,0,0,0,47,3614,0,19013,1720,0,0,3370,251,2094,2020,303,1563,0,0,407,0,0,0,0,0,0,0,0,469,0,0,0,0,0
221S1,0,0,1659,1844,0,282,0,22,0,27,582,1159,0,0,36,0,0,0,2251,24,56,2116,0,147,233,0,1039,632,0,0,425,0,0,0,804,19,0,67,15,0,0,0,0,51,40,18,0
222S1,0,0,0,19266,0,0,0,202,0,241,0,0,0,96,0,527,59,0,0,0,33,0,0,0,85,579,8,0,0,1342,0,275,131,0,0,0,79,0,191,0,548,0,19,0,0,0,32
223S1,249,0,7440,20336,0,1833,0,0,0,1678,367,38,3,0,272,0,0,197,17,150,388,739,0,897,799,63,10,589,0,0,0,152,47,0,267,567,228,7,34,0,0,15,0,0,7,0,55
50S1,0,16183,354,794,323,0,0,0,85,0,0,0,4532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,560,0,0,0,89,366,0,0,0,0,0
70S1,0,0,0,4346,0,1192,0,874,0,0,297,0,0,0,0,266,0,442,0,0,0,0,0,0,0,0,0,0,0,156,0,0,126,0,0,0,70,656,0,27,0,0,12,0,0,0,35
89S1,0,0,205,36781,37,911,0,161,0,0,459,0,0,37,0,0,0,8798,0,0,0,0,0,0,0,1333,0,0,510,442,0,0,24,0,0,0,58,0,113,0,0,0,9,0,0,0,44
93S1,0,0,1478,3444,0,88,0,26,0,0,1321,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,97,0,0,362,0,0,47,234,59,0,45,0,0,0,0,0,0,0,0,0
114S1,763,0,0,12328,0,22255,7,169,181,0,67,0,0,0,30,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,177,0,0,833,0,33,0,78,0,0,0,0,0,0,0
115S1,0,0,0,30946,34,1926,3,0,0,0,379,0,0,0,31,0,0,0,0,16,0,0,0,0,0,0,0,1038,1258,0,0,53,35,0,328,0,1986,0,0,21,348,124,0,0,0,0,247
116S1,83,0,0,18,23,35,0,398,0,0,18,0,0,1459,0,210,47,0,0,0,0,0,0,0,0,1331,0,0,0,101,0,135,0,0,0,0,246,0,14,1184,586,0,183,338,0,142,154
117S1,0,0,0,927,96,0,0,21050,22,0,45,0,0,2226,30,0,10643,0,0,18,0,0,0,0,0,0,0,0,0,0,19,227,87,0,0,0,237,0,1537,0,60,419,0,0,91,228,0
119S1,0,48,181,19733,44,2198,0,1531,0,0,3139,0,0,0,0,0,292,4576,0,0,0,0,0,0,9,676,22,129,373,0,0,1588,643,0,1045,359,0,0,165,0,0,167,0,0,19,0,86
129S1,0,0,0,11156,83,1215,38,272,0,0,8821,0,33,46,170,0,329,1734,4079,0,0,0,582,0,0,1460,0,650,841,156,0,88,0,441,364,53,71,0,394,81,157,30,256,476,0,79,0
133S1,0,0,24430,28171,89,4697,869,0,0,0,114,0,0,0,0,0,0,75,17,0,0,0,0,322,0,0,0,96,219,0,43,167,69,0,48,0,0,0,0,0,0,0,0,0,0,0,0
136S1,0,34,195,761,108,0,0,0,40,0,10,0,0,0,24,82,0,0,137,0,0,0,483,0,0,0,0,0,159,0,50,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
138S1,0,0,33,5819,47,806,0,416,0,0,3143,0,0,46,164,151,0,261,0,0,0,0,0,373,0,0,0,0,158,100,0,296,77,2423,0,0,0,180,24,20,0,0,484,82,0,0,38
139S1,45,12312,0,0,11261,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144S1,81,0,0,326,0,26,0,418,0,0,8,0,0,13883,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147S1,23306,0,244,0,0,0,0,0,0,0,0,0,74,0,404,101,398,0,0,0,147,9,0,0,0,0,0,0,0,115,44,0,0,0,8,0,52,0,0,10,0,0,0,0,0,0,0
150S1,4,22,33111,48,42,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153S1,0,0,25,11302,16,2255,0,0,0,898,1447,13706,0,0,0,314,0,0,9046,0,666,153,0,0,1644,0,78,81,3538,0,1928,32,0,17,58,647,0,0,0,155,0,0,0,0,303,118,0
155S1,0,0,3619,9180,13,1265,0,51,0,30,5224,3148,0,0,0,81,53,0,5888,0,96,542,0,0,20,142,385,221,233,0,797,0,0,270,834,0,0,78,63,35,0,0,0,0,455,0,0
156S1,368,0,0,61816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160S1,1250,0,0,56395,0,10161,0,0,0,0,0,0,0,23,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,83,0,0,0,0
161S1,0,0,115,5758,34,981,47,37,0,81,4774,122,0,0,0,469,0,0,329,56,85,32,0,0,184,199,46,594,0,0,0,40,43,0,0,165,60,0,0,28,0,0,0,0,118,0,0
162S1,0,0,0,30434,0,2083,0,597,0,423,582,0,0,19,47,742,0,0,33,0,612,319,0,0,218,132,0,0,0,0,0,1058,320,0,0,0,280,0,161,0,0,0,0,0,0,81,0
164S1,0,0,1872,1710,0,259,0,0,0,0,199,113,19547,0,0,59,0,0,72,0,18,12,32,0,0,0,0,0,0,0,0,0,0,77,19,0,0,34,0,0,0,0,0,0,0,0,0
165S1,15658,0,150,409,73,0,0,0,5241,132,22,21,53,0,0,0,0,0,27,0,12,0,0,0,70,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166S1,0,0,2217,23133,0,725,224,0,0,0,245,0,0,0,0,0,0,0,0,27,0,0,0,6539,0,0,0,218,1553,0,31,0,0,0,384,0,131,446,0,0,174,25,0,0,30,0,188
