SampleID,Enterococcus,Staphylococcus,Bacteroides,Streptococcus,Parabacteroides,Lactobacillus,UBA1819,Enterobacteriaceae,Acinetobacter,Finegoldia,Alistipes,Fenollaria,Pseudomonas,Erysipelatoclostridium,Bilophila,Phascolarctobacterium,Eisenbergiella,Akkermansia,Porphyromonas,Veillonella,Anaerococcus,Campylobacter,Bifidobacterium,Sutterella,Peptoniphilus,Hungatella,Ezakiella,Dialister,Faecalibacterium,[Clostridium] innocuum group,UCG-002,Colidextribacter,Flavonifractor,NK4A214 group,Odoribacter,Parasutterella,Lachnoclostridium,Barnesiella,Intestinimonas,Anaerostipes,DTU089,Oscillibacter,Ruminococcus,Frisingicoccus,Butyricicoccus,Family XIII AD3011 group
195S1,0,0,0,14,0,606,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197S1,0,0,17829,0,395,0,355,0,0,180,232,0,0,34,0,656,775,0,150,0,370,0,0,1136,0,0,0,307,0,75,0,0,394,0,50,0,0,0,68,27,0,671,0,8,53,0
198S1,0,0,6114,0,377,0,63,0,0,0,812,109,0,0,15,54,40,0,72,0,0,0,0,495,0,0,0,0,0,32,0,82,60,68,212,0,0,416,190,0,14,16,162,0,0,0
200S1,48,0,5288,0,239,0,0,0,6,235,290,168,0,0,87,0,0,0,399,0,651,0,56,337,473,0,127,2091,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
201S1,0,0,4646,15,180,8,10,0,7,2367,840,2337,0,301,0,91,16,0,510,13,1716,650,0,240,2067,0,424,204,0,0,153,67,47,119,519,54,59,283,0,42,9,0,72,26,43,0
202S1,0,103,7787,5,0,0,319,0,9,15,0,136,0,0,0,0,244,1608,250,0,3601,380,0,0,360,0,15,27,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,59,0
203S1,0,0,1962,20,0,9,377,0,0,0,406,0,0,79,0,2965,0,0,0,0,0,0,11,0,0,0,0,0,0,38,0,0,39,0,0,0,0,0,0,31,0,0,92,133,0,0
204S1,0,48,0,1459,0,30017,0,3784,0,0,0,0,0,0,0,0,0,0,0,3026,0,0,3504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205S1,0,0,12354,0,945,0,1386,0,0,128,4624,0,0,0,0,0,34,0,0,0,31,0,0,0,7,406,0,0,9,451,0,0,173,0,218,0,0,0,34,0,45,0,182,112,0,20
207S1,117,10816,4844,2528,428,10189,26,149,0,1776,843,0,13,0,0,58,142,0,268,558,2886,0,350,134,1193,116,0,1039,0,61,0,0,17,30,7,0,0,0,0,0,0,0,0,0,0,0
208S1,8896,0,51,0,0,52,0,34772,19,0,0,0,0,501,0,0,0,0,0,0,0,16,41,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209S1,2019,68,101228,0,0,8,0,437,9,353,0,0,0,0,0,0,0,2290,16,0,1020,13,20,0,474,53,0,0,0,0,0,0,707,0,0,0,49,0,0,231,120,112,0,0,48,0
220S1,0,1296,1043,0,1559,637,0,0,967,0,0,0,141,114,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
210S1,0,7,22938,0,756,0,2912,0,0,5,0,0,0,156,0,2023,17,0,0,0,0,44,0,0,0,81,0,0,0,166,0,65,2491,0,0,2269,147,0,0,31,11,5,0,0,0,0
211S1,678,667,651,156,0,1189,298,0,479,0,2289,0,129,0,169,0,0,390,0,4859,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
212S1,15,12,21139,63,1948,46,246,0,0,430,1871,0,197,59,261,0,451,469,103,0,31,0,12,0,51,0,0,19,249,114,41,28,54,0,736,918,12,0,168,0,30,50,688,185,26,70
213S1,0,0,7719,22,362,0,0,0,0,0,183,0,0,0,0,0,0,0,0,45,0,0,330,270,0,0,0,0,0,47,0,0,0,0,55,0,108,0,24,0,0,0,0,0,18,0
214S1,197,0,1390,0,182,12,0,135,0,128,64,281,0,0,25,0,0,7,63,21,542,15,111,166,46,0,18,705,0,0,0,86,26,0,92,0,134,128,0,0,0,0,0,0,27,24
215S1,7,0,3775,67,116,0,0,0,0,51,352,399,0,0,37,0,42,0,1124,0,37,5741,0,0,117,0,207,590,58,0,356,24,0,35,115,0,7,0,20,0,0,41,87,0,0,36
216S1,0,5,6462,108,402,27,105,0,0,22,0,0,0,0,24,94,0,0,12,15,0,0,0,0,16,0,0,0,0,6,0,30,16,0,0,0,0,0,0,0,0,0,0,23,0,0
217S1,94,0,8476,45,1781,0,53,39,0,0,6036,0,0,19,195,0,0,351,0,181,0,0,0,0,0,66,0,300,0,24,0,36,40,192,38,0,0,0,0,34,0,21,309,18,13,144
218S1,0,1340,889,0,0,0,16,0,1925,4150,0,0,72,336,0,0,0,64,0,0,12661,0,0,0,700,0,0,261,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219S1,0,3179,93520,3189,9081,1152,0,0,1403,8147,1094,1258,99,0,0,0,0,47,3614,0,19013,0,0,0,3370,0,2094,2020,303,1563,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0
221S1,0,0,1844,0,282,0,22,293,0,27,551,1159,0,0,36,0,0,0,2251,24,56,5,0,147,233,0,1039,632,0,0,218,0,0,0,804,19,0,67,15,0,0,51,40,18,0,0
222S1,0,0,19262,0,0,0,202,0,0,241,0,0,0,96,0,527,59,0,0,0,33,0,0,0,85,465,8,0,0,1342,0,0,131,0,0,0,0,0,191,548,19,0,0,0,32,0
223S1,0,0,19914,0,1833,0,0,703,0,1678,367,38,3,0,272,0,0,197,17,150,388,739,0,897,799,63,10,589,0,0,0,152,47,0,267,567,228,7,34,0,0,0,7,0,55,0
50S1,0,16183,794,323,0,0,0,0,85,0,0,0,4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,89,0,0,0,0,0,0
70S1,0,0,4346,0,1192,0,874,0,0,0,297,0,0,0,0,266,0,442,0,0,0,0,0,0,0,0,0,0,0,156,0,0,126,0,0,0,0,656,0,0,12,0,0,0,35,0
89S1,0,0,36781,37,911,0,161,0,0,0,459,0,0,37,0,0,0,8798,0,0,0,0,0,0,0,1333,0,0,0,442,0,0,24,0,0,0,58,0,113,0,9,0,0,0,44,0
93S1,0,0,3444,0,88,0,26,0,0,0,1321,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,47,234,59,0,45,0,0,0,0,0,0,0,0
114S1,763,0,12328,0,22255,7,169,0,181,0,67,0,0,0,30,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,177,0,0,833,0,33,0,0,0,0,0,0,0,78
115S1,0,0,30946,34,1926,3,0,0,0,0,379,0,0,0,31,0,0,0,0,16,0,0,0,0,0,0,0,1038,28,0,0,53,35,0,328,0,1986,0,0,348,0,0,0,0,247,21
116S1,62,0,18,23,35,0,398,0,0,0,18,0,0,1459,0,210,47,0,0,0,0,0,0,0,0,1331,0,0,0,101,0,135,0,0,0,0,33,0,0,586,183,338,0,142,154,0
117S1,0,0,927,96,0,0,21050,0,22,0,45,0,0,2226,30,0,10643,0,0,18,0,0,0,0,0,0,0,0,0,0,19,0,87,0,0,0,237,0,1537,0,0,0,91,228,0,0
119S1,0,48,19733,44,2198,0,1531,156,0,0,3139,0,0,0,0,0,292,4576,0,0,0,0,0,0,9,603,22,129,0,0,0,1588,643,0,1045,359,0,0,165,0,0,0,19,0,86,0
129S1,0,0,11156,83,1215,38,272,0,0,0,8821,0,33,46,170,0,329,1734,4079,0,0,0,582,0,0,403,0,650,634,156,0,49,0,441,364,53,71,0,394,157,256,476,0,79,0,81
133S1,0,0,28171,89,4697,869,0,7755,0,0,114,0,0,0,0,0,0,75,17,0,0,0,0,322,0,0,0,96,0,0,43,167,69,0,48,0,0,0,0,0,0,0,0,0,0,0
136S1,0,34,761,108,0,0,0,0,40,0,10,0,0,0,24,82,0,0,137,0,0,0,483,0,0,0,0,0,159,0,50,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
138S1,0,0,5819,47,806,0,416,0,0,0,2470,0,0,46,164,151,0,261,0,0,0,0,0,373,0,0,0,0,158,100,0,202,77,2423,0,0,0,180,24,0,484,82,0,0,38,20
139S1,45,12312,0,11261,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144S1,60,0,326,0,26,0,418,0,0,0,8,0,0,13880,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
