SampleID,Firmicutes,Actinobacteriota,Bacteroidota,Proteobacteria,Desulfobacterota,Verrucomicrobiota,Campilobacterota,Patescibacteria,Fusobacteriota,Cyanobacteria,Synergistota,Deinococcota,Acidobacteriota,Halobacterota,Myxococcota,Euryarchaeota,Thermoplasmatota
195S1,620,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197S1,5702,0,18899,1136,0,0,0,0,0,0,19,0,0,0,0,0,0
198S1,4288,0,7928,495,91,0,0,0,332,0,0,0,0,0,0,0,0
200S1,4464,99,6110,343,87,0,0,0,0,0,0,0,0,0,0,0,0
201S1,17449,46,6805,304,0,0,650,0,0,0,9,0,0,0,0,0,0
202S1,8525,2862,7966,9,0,1608,380,0,0,0,17,0,0,0,0,0,0
203S1,5684,49,2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204S1,34685,3550,0,2907,0,0,0,0,0,0,0,0,0,0,0,0,0
205S1,7886,0,18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207S1,35135,1006,6122,378,0,0,0,0,0,0,0,0,0,0,0,0,0
208S1,9817,41,51,45966,0,0,16,0,12,0,0,0,0,0,0,0,0
209S1,27238,160,101244,470,0,2290,0,0,0,0,0,0,0,0,0,0,0
220S1,3021,999,4495,8979,0,214,0,0,0,0,0,0,0,214,0,0,0
210S1,14977,16,23694,2269,0,0,44,6,20,0,0,0,0,0,0,0,0
211S1,140722,200,3267,3364,169,390,0,0,166,0,0,50,0,0,0,0,0
212S1,9602,12,25700,1119,261,469,0,0,0,0,0,0,0,0,0,0,0
213S1,3389,374,8043,270,0,0,0,0,0,0,0,0,0,0,0,0,0
214S1,3748,179,1955,400,25,13,15,0,16,0,0,0,0,0,0,0,0
215S1,5022,31,4805,0,37,6,5741,0,0,0,30,0,0,0,0,0,0
216S1,1803,0,6774,0,24,0,0,0,0,0,0,0,0,0,0,0,0
217S1,6056,0,16331,54,273,351,0,0,95,0,0,0,0,0,0,0,0
218S1,18781,745,1184,6046,0,64,0,0,0,0,0,239,0,0,0,0,0
219S1,60398,1708,103997,8112,0,47,0,0,0,1416,0,0,233,0,0,0,0
221S1,5849,26,4782,166,63,0,0,0,0,0,122,0,0,0,0,0,0
222S1,8579,155,19262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223S1,7032,6,23111,2190,316,197,739,0,0,0,61,0,0,0,0,0,0
50S1,19782,1055,3448,9615,0,0,10,1282,0,0,0,0,0,0,91,0,0
70S1,10146,0,6138,0,0,442,0,0,0,0,0,0,0,0,0,0,0
89S1,12345,0,38120,0,0,8798,0,0,0,0,0,0,0,0,0,0,0
93S1,2368,0,5240,59,17,10,0,0,0,0,0,0,0,0,0,0,0
114S1,2415,0,34695,1018,30,0,0,0,0,0,0,0,0,0,0,0,0
115S1,15437,0,33569,99,31,0,0,0,0,0,0,0,0,0,0,0,0
116S1,42094,111,71,0,0,0,0,0,35,0,0,0,0,0,0,0,0
117S1,48164,36,1107,123,30,0,0,0,0,0,0,67,0,0,0,0,0
119S1,21921,0,26627,540,0,4576,0,0,0,0,0,0,0,0,0,0,0
129S1,40183,630,14257,86,339,1734,0,0,0,0,48,0,0,0,0,0,0
133S1,6342,0,32933,23713,0,75,0,0,0,0,0,0,0,0,0,0,0
136S1,787,483,1446,2152,24,0,0,0,149,0,0,0,0,0,0,0,0
138S1,9779,23,9319,373,164,261,0,0,0,0,0,0,0,0,0,0,6
139S1,25243,17,487,1048,0,0,0,0,0,0,0,0,0,0,0,0,0
144S1,15721,0,367,17,0,0,0,0,0,0,0,0,0,0,0,0,0
147S1,25042,29,21,351,404,0,9,0,17,0,39,0,0,0,0,0,0
150S1,75,0,71,67,0,16,0,0,0,0,0,0,0,0,0,0,0
153S1,31442,0,20330,672,23,0,0,0,0,0,12,0,0,0,0,0,0
155S1,15056,0,22532,4211,12,0,0,0,48,0,104,0,0,0,0,0,0
156S1,368,0,61816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160S1,3353,0,66556,549,630,0,0,0,0,0,0,0,0,0,0,0,0
161S1,4033,0,10550,165,110,0,0,0,0,0,496,0,0,0,0,0,0
162S1,10381,0,33132,0,47,0,0,0,0,0,0,0,0,0,0,0,0
164S1,878,32,2281,19630,0,0,0,0,0,0,0,0,0,0,0,34,0
165S1,16145,0,458,5425,0,0,0,0,0,0,0,0,0,0,0,0,0
166S1,9534,0,25023,6960,0,0,0,0,0,0,0,0,0,0,0,0,0
