Enterococcus,Firmicutes
Staphylococcus,Firmicutes
Enterobacteriaceae,Proteobacteria
Alloscardovia,Actinobacteriota
Bacteroides,Bacteroidetes
Streptococcus,Firmicutes
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Proteobacteria
Parabacteroides,Bacteroidetes
Firmicutes,Firmicutes
Prevotella,Bacteroidetes
Bacteroidota,Bacteroidetes
Lactobacillus,Firmicutes
UBA1819,Firmicutes
Acinetobacter,Proteobacteria
Finegoldia,Firmicutes
Alistipes,Bacteroidetes
Fenollaria,Firmicutes
Pseudomonas,Proteobacteria
Parvimonas,Firmicutes
Aggregatibacter,Proteobacteria
Erysipelatoclostridium,Firmicutes
Rothia,Actinobacteriota
UCG-002,Firmicutes
Neisseria,Proteobacteria
Pediococcus,Firmicutes
Bilophila,Desulfobacterota
Oscillibacter,Firmicutes
Gemella,Firmicutes
Atopobium,Actinobacteriota
Phascolarctobacterium,Firmicutes
Eisenbergiella,Firmicutes
Oribacterium,Firmicutes
Akkermansia,Verrucomicrobiota
Porphyromonas,Bacteroidetes
Veillonella,Firmicutes
Anaerococcus,Firmicutes
Campylobacter,Campilobacterota
Bifidobacterium,Actinobacteriota
Corynebacterium,Actinobacteriota
Monoglobus,Firmicutes
Sutterella,Proteobacteria
Escherichia-Shigella,Proteobacteria
Faecalibacterium,Firmicutes
Peptoniphilus,Firmicutes
Cyanobacteria,Cyanobacteria
Cutibacterium,Actinobacteriota
Tyzzerella,Firmicutes
Hungatella,Firmicutes
Ezakiella,Firmicutes
Peptostreptococcus,Firmicutes
Dialister,Firmicutes
[Clostridium] innocuum group,Firmicutes
Megasphaera,Firmicutes
Dielma,Firmicutes
Murdochiella,Firmicutes
Colidextribacter,Firmicutes
Flavonifractor,Firmicutes
NK4A214 group,Firmicutes
Clostridium sensu stricto 1,Firmicutes
Proteobacteria,Proteobacteria
Faecalitalea,Firmicutes
Acidaminococcus,Firmicutes
Stenotrophomonas,Proteobacteria
Odoribacter,Bacteroidetes
Delftia,Proteobacteria
Anaerotruncus,Firmicutes
Parasutterella,Proteobacteria
Flavobacterium,Bacteroidetes
TM7x,Patescibacteria
Lachnoclostridium,Firmicutes
Coprobacillus,Firmicutes
Barnesiella,Bacteroidetes
[Eubacterium] eligens group,Firmicutes
Sellimonas,Firmicutes
Intestinimonas,Firmicutes
Leuconostoc,Firmicutes
Family XIII AD3011 group,Firmicutes
Moryella,Firmicutes
Agathobacter,Firmicutes
Lactococcus,Firmicutes
Subdoligranulum,Firmicutes
Fournierella,Firmicutes
Cloacibacterium,Bacteroidetes
Anaerostipes,Firmicutes
Candidatus Saccharimonas,Patescibacteria
Lachnospiraceae NC2004 group,Firmicutes
Paracoccus,Proteobacteria
[Eubacterium] hallii group,Firmicutes
[Eubacterium] brachy group,Firmicutes
DTU089,Firmicutes
Haemophilus,Proteobacteria
Brevundimonas,Proteobacteria
Fusobacterium,Fusobacteriota
Fastidiosipila,Firmicutes
Negativicoccus,Firmicutes
Cloacibacillus,Synergistota
Solobacterium,Firmicutes
Negativibacillus,Firmicutes
Ruminococcus,Firmicutes
Coprobacter,Bacteroidetes
Afipia,Proteobacteria
Herbaspirillum,Proteobacteria
[Ruminococcus] torques group,Firmicutes
Butyricimonas,Bacteroidetes
[Cytophaga] xylanolytica group,Bacteroidetes
Patescibacteria,Patescibacteria
Desulfovibrio,Desulfobacterota
Frisingicoccus,Firmicutes
Facklamia,Firmicutes
Ruminiclostridium,Firmicutes
Gordonia,Actinobacteriota
Clostridium sensu stricto 13,Firmicutes
