expression_id,microbiome_id,subject_id
G131.01_S68,G_131_01,subject_212
G131.02_S69,G_131_02,subject_213
G131.03_S70,G_131_03,subject_214
G131.04_S71,G_131_04,subject_215
G131.05_S72,G_131_05,subject_216
G131.06_S73,G_131_06,subject_217
G131.07_S74,G_131_07,subject_218
G131.08_S75,G_131_08,subject_219
G131.09_S76,G_131_09,subject_220
G131.10_S77,G_131_10,subject_221
G131.11_S78,G_131_11,subject_222
G131.12_S79,G_131_12,subject_223
G131.13_S80,G_131_13,subject_224
G131.14_S81,G_131_14,subject_225
G131.15_S82,G_131_15,subject_226
G131.16_S83,G_131_16,subject_227
G131.17_S84,G_131_17,subject_228
G131.18_S85,G_131_18,subject_229
G131.20_S87,G_131_20,subject_231
G131.21_S88,G_131_21,subject_232
G131.22_S89,G_131_22,subject_233
G131.23_S90,G_131_23,subject_234
G131.24_S91,G_131_24,subject_235
G131.25_S92,G_131_25,subject_236
G131.26_S93,G_131_26,subject_237
G131.29_S96,G_131_29,subject_240
G131.31_S98,G_131_31,subject_242
G131.32_S99,G_131_32,subject_243
G131.33_S100,G_131_33,subject_244
G13127_S1,G_131_27,subject_238
G13128_S2,G_131_28,subject_239
G13130_S3,G_131_30,subject_241
JAH.01_S1,JAH_01_1,subject_2
JAH.02_S2,JAH_02_2,subject_15
JAH.03_S3,JAH_03_3,subject_18
JAH.04_S4,JAH_04_4,subject_20
JAH.05_S5,JAH_05_5,subject_23
JAH.06_S6,JAH_06_6,subject_24
JAH.07_S7,JAH_07_7,subject_27
JAH.08_S8,JAH_08_8,subject_28
JAH.09_S9,JAH_09_9,subject_30
JAH.10_S10,JAH_10_10,subject_41
JAH.11_S11,JAH_11_11,subject_42
JAH.12_S12,JAH_12_12,subject_44
JAH.13_S13,JAH_13_13,subject_45
JAH.14_S14,JAH_14_14,subject_46
JAH.15_S15,JAH_15_15,subject_50
JAH.16_S16,JAH_16_16,subject_51
JAH.17_S17,JAH_17_17,subject_53
JAH.18_S18,JAH_18_18,subject_55
JAH.19_S19,JAH_19_19,subject_58
JAH.20_S20,JAH_20_20,subject_59
JAH.21_S21,JAH_21_21,subject_62
JAH.22_S22,JAH_22_22,subject_63
JAH.23_S23,JAH_23_23,subject_65
JAH.24_S24,JAH_24_24,subject_67
JAH.25_S25,JAH_25_25,subject_69
JAH.26_S26,JAH_26_26,subject_70
JAH.27_S27,JAH_27_27,subject_74
JAH.28_S28,JAH_28_28,subject_76
JAH.29_S29,JAH_29_29,subject_83
JAH.30_S30,JAH_30_30,subject_86
JAH.31_S31,JAH_31_31,subject_87
JAH.32_S32,JAH_32_32,subject_91
JAH.33_S33,JAH_33_33,subject_92
JAH.34_S34,JAH_34_34,subject_94
JAH.35_S35,JAH_35_35,subject_95
JAH.36_S36,JAH_36_36,subject_96
JAH.37_S37,JAH_37_37,subject_98
JAH.38_S38,JAH_38_38,subject_100
JAH.39_S39,JAH_39_39,subject_102
JAH.40_S40,JAH_40_40,subject_103
JAH.41_S41,JAH_41_41,subject_105
JAH.42_S42,JAH_42_42,subject_106
JAH.43_S43,JAH_43_43,subject_109
JAH.44_S44,JAH_44_44,subject_110
JAH.45_S45,JAH_45_45,subject_111
JAH.46_S46,JAH_46_46,subject_113
JAH.47_S47,JAH_47_47,subject_115
JAH.49_S49,JAH_49_49,subject_119
JAH.50_S50,JAH_50_50,subject_120
JAH.51_S51,JAH_51_51,subject_121
JAH.52_S52,JAH_52_52,subject_122
JAH.53_S53,JAH_53_53,subject_123
JAH.54_S54,JAH_54_54,subject_124
JAH.55_S55,JAH_55_55,subject_125
JAH.56_S56,JAH_56_56,subject_126
JAH.57_S57,JAH_57_57,subject_128
JAH.58_S58,JAH_58_58,subject_129
JAH.59_S59,JAH_59_59,subject_133
JAH.60_S60,JAH_60_60,subject_134
JAH.61_S61,JAH_61_61,subject_135
JAH.62_S62,JAH_62_62,subject_136
JAH.63_S63,JAH_63_63,subject_137
JAH.64_S64,JAH_64_64,subject_138
JAH.65_S65,JAH_65_65,subject_139
JAH.66_S66,JAH_66_66,subject_140
JAH.67_S67,JAH_67_67,subject_141
JAH.68_S68,JAH_68_68,subject_142
JAH.69_S69,JAH_69_69,subject_144
JAH.70_S70,JAH_70_70,subject_146
JAH.71_S71,JAH_71_71,subject_147
JAH.72_S72,JAH_72_72,subject_148
JAH.73_S73,JAH_73_73,subject_149
JAH.74_S74,JAH_74_74,subject_150
JAH.75_S75,JAH_75_75,subject_151
JAH.76_S76,JAH_76_76,subject_152
JAH.77_S77,JAH_77_77,subject_153
JAH.78_S78,JAH_78_78,subject_154
JAH.79_S79,JAH_79_79,subject_155
JAH.80_S80,JAH_80_80,subject_156
JAH.81_S81,JAH_81_81,subject_157
JAH.82_S82,JAH_82_82,subject_159
JAH.83_S83,JAH_83_83,subject_161
JAH.84_S84,JAH_84_84,subject_162
JAH.85_S85,JAH_85_85,subject_163
JAH.86_S86,JAH_86_86,subject_164
JAH.87_S87,JAH_87_87,subject_165
JAH.88_S88,JAH_88_88,subject_166
JAH.89_S89,JAH_89_89,subject_167
JAH.90_S90,JAH_90_90,subject_168
JAH100_S100,JAH_100_100,subject_178
JAH101_S101,JAH_101_101,subject_179
JAH102_S102,JAH_102_102,subject_180
JAH103_S103,JAH_103_103,subject_182
JAH104_S104,JAH_104_104,subject_183
JAH105_S105,JAH_105_105,subject_184
JAH106_S106,JAH_106_106,subject_185
JAH107_S107,JAH_107_107,subject_186
JAH108_S108,JAH_108_108,subject_187
JAH109_S109,JAH_109_109,subject_188
JAH110_S110,JAH_110_110,subject_189
JAH111_S111,JAH_111_111,subject_190
JAH112_S112,JAH_112_112,subject_191
JAH113_S113,JAH_113_113,subject_192
JAH114_S114,JAH_114_114,subject_193
JAH115_S115,JAH_115_115,subject_194
JAH117_S117,JAH_117_117,subject_196
JAH118_S118,JAH_118_118,subject_197
JAH119_S119,JAH_119_119,subject_198
JAH120_S120,JAH_120_120,subject_199
JAH121_S121,JAH_121_121,subject_200
JAH122_S122,JAH_122_122,subject_201
