Model,Model LL,Variable,Hazard ratio,"HR 95% CI, lower","HR 95% CI, higher",P value
(Gender (male)) + (APACHE II score) + ARDS + MMI,-93.3,ARDS,1.9,1.0,3.4,0.04
..,..,Gender (male),0.5,0.3,1.0,0.046
..,..,MMI,1.6,1.3,1.9,5.8e-05
..,..,APACHE II score,1.1,1.0,1.1,0.0026
(Gender (male)) + (APACHE II score) + ARDS + (MMI > 0),-93.7,APACHE II score,1.1,1.0,1.1,0.0051
..,..,ARDS,2.0,1.1,3.7,0.025
..,..,Gender (male),0.5,0.3,0.9,0.028
..,..,MMI > 0,3.1,1.7,5.6,0.00015
(APACHE II score) + ARDS + Sepsis-3 + MMI,-94.2,APACHE II score,1.1,1.0,1.1,0.0032
..,..,MMI,1.5,1.2,1.8,0.00038
..,..,Sepsis-3,0.7,0.3,1.4,0.28
..,..,ARDS,2.0,1.0,3.8,0.045
Age + (APACHE II score) + ARDS + MMI,-94.3,ARDS,1.8,1.0,3.4,0.055
..,..,MMI,1.5,1.2,1.8,0.0002
..,..,Age,1.0,1.0,1.0,0.36
..,..,APACHE II score,1.1,1.0,1.1,0.003
(APACHE II score) + ARDS + Immunosuppressed + MMI,-94.6,APACHE II score,1.1,1.0,1.1,0.0054
..,..,ARDS,1.8,0.9,3.4,0.075
..,..,Immunosuppressed,1.0,0.6,2.0,0.88
..,..,MMI,1.5,1.2,1.8,0.00084
(APACHE II score) + ARDS + Vancomycin + MMI,-94.6,APACHE II score,1.1,1.0,1.1,0.0054
..,..,ARDS,1.8,0.9,3.4,0.08
..,..,MMI,1.5,1.2,1.9,0.001
..,..,Vancomycin,1.0,0.5,2.0,0.97
(APACHE II score) + ARDS + Malignancy + MMI,-94.6,MMI,1.5,1.2,1.8,0.00059
..,..,Malignancy,1.0,1.0,1.0,0.88
..,..,ARDS,1.8,0.9,3.4,0.075
..,..,APACHE II score,1.1,1.0,1.1,0.0046
(APACHE II score) + ARDS + Ciprofloxacin + MMI,-94.6,MMI,1.5,1.2,1.8,0.00059
..,..,Ciprofloxacin,1.0,1.0,1.0,0.85
..,..,ARDS,1.8,0.9,3.4,0.075
..,..,APACHE II score,1.1,1.0,1.1,0.0046
(APACHE II score) + ARDS + Diabetes + MMI,-94.6,APACHE II score,1.1,1.0,1.1,0.0046
..,..,ARDS,1.8,0.9,3.4,0.075
..,..,Diabetes,1.0,1.0,1.0,0.91
..,..,MMI,1.5,1.2,1.8,0.00059
(APACHE II score) + ARDS + Ceftriaxone + MMI,-94.6,APACHE II score,1.1,1.0,1.1,0.0046
..,..,ARDS,1.8,0.9,3.4,0.075
..,..,Ceftriaxone,1.0,1.0,1.0,0.93
..,..,MMI,1.5,1.2,1.8,0.00059
