model,model LL,model AIC,Concordance,variable,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
APACHE+ARDS+mmi,-94.60975459021495,195.2195091804299,0.7581888246628131,ARDS,1.7909334888009159,0.9428467655057527,3.4018706736381654,0.07504637923267807
APACHE+ARDS+mmi,-94.60975459021495,195.2195091804299,0.7581888246628131,mmi,1.4738903745872407,1.181423882077348,1.8387581876888894,0.0005875311680985305
APACHE+ARDS+mmi,-94.60975459021495,195.2195091804299,0.7581888246628131,APACHE,1.0705384641852278,1.021201104765859,1.1222594628536298,0.0046336397496828195
Gender+APACHE+mmi,-94.76120779357925,195.5224155871585,0.7784200385356455,APACHE,1.0754503399770736,1.0277934272405884,1.1253170171189126,0.0016585225992236875
Gender+APACHE+mmi,-94.76120779357925,195.5224155871585,0.7784200385356455,Gender,0.5711772366133148,0.30358288967047364,1.0746436862082247,0.08243546842708431
Gender+APACHE+mmi,-94.76120779357925,195.5224155871585,0.7784200385356455,mmi,1.559855859289901,1.244294699705844,1.9554453638163385,0.00011559904583469149
APACHE+ARDS+M,-95.15192276155366,196.30384552310733,0.7620423892100193,APACHE,1.0613907229732231,1.0147089103342246,1.1102201383474186,0.009424790725592365
APACHE+ARDS+M,-95.15192276155366,196.30384552310733,0.7620423892100193,ARDS,1.8595840959378223,0.9703681159486919,3.5636506940297408,0.06157776780078057
APACHE+ARDS+M,-95.15192276155366,196.30384552310733,0.7620423892100193,M,2.5494266509353056,1.3853227077549097,4.691741651324399,0.0026356545749412646
Gender+APACHE+M,-95.42579981308836,196.85159962617672,0.7567437379576107,M,2.885061590171492,1.5592501859838197,5.338194251252268,0.0007386105345403599
Gender+APACHE+M,-95.42579981308836,196.85159962617672,0.7567437379576107,APACHE,1.070485507803296,1.0269758517549483,1.1158385277108918,0.0012940976578761116
Gender+APACHE+M,-95.42579981308836,196.85159962617672,0.7567437379576107,Gender,0.5649547155793679,0.29675301854323527,1.0755537794432333,0.08216835134213052
Age+APACHE+mmi,-95.65721900051234,197.31443800102468,0.7620423892100193,Age,1.0080686994613062,0.9864316486596877,1.0301803517905905,0.46788202203214935
Age+APACHE+mmi,-95.65721900051234,197.31443800102468,0.7620423892100193,mmi,1.4970255866867037,1.1981792689151152,1.8704092662393066,0.00038324437728082743
Age+APACHE+mmi,-95.65721900051234,197.31443800102468,0.7620423892100193,APACHE,1.0715445544640851,1.0239872100426555,1.1213106188638866,0.0028510517117043056
APACHE+Sepsis3+mmi,-95.7844857155482,197.5689714310964,0.7495183044315993,APACHE,1.0733974937991062,1.022946044929756,1.1263371957934696,0.003931728169512864
APACHE+Sepsis3+mmi,-95.7844857155482,197.5689714310964,0.7495183044315993,Sepsis3,0.8359584639393863,0.38932935340020103,1.794949564754645,0.6458274568939408
APACHE+Sepsis3+mmi,-95.7844857155482,197.5689714310964,0.7495183044315993,mmi,1.4952215199598824,1.1973175600177783,1.8672468093744021,0.0003874343664157101
APACHE+Vancomycin+mmi,-95.80462512569224,197.60925025138448,0.7485549132947977,APACHE,1.0687709536858314,1.0206209185541733,1.1191925725573801,0.004687052412979001
APACHE+Vancomycin+mmi,-95.80462512569224,197.60925025138448,0.7485549132947977,Vancomycin,1.1455329194562673,0.5701580138449097,2.3015473565104476,0.7027012590201032
APACHE+Vancomycin+mmi,-95.80462512569224,197.60925025138448,0.7485549132947977,mmi,1.4787222080984126,1.1760332787689876,1.8593175960226977,0.0008152659966005162
APACHE+Cipro+mmi,-95.82472237441664,197.64944474883328,0.7495183044315993,APACHE,1.0696162039865031,1.0217506441687865,1.1197241032925667,0.003962449635847218
APACHE+Cipro+mmi,-95.82472237441664,197.64944474883328,0.7495183044315993,Cipro,1.1421172380697795,0.5441744331812531,2.3970839237529233,0.7253588470866508
APACHE+Cipro+mmi,-95.82472237441664,197.64944474883328,0.7495183044315993,mmi,1.5006220291373962,1.1978558071013392,1.8799144780052204,0.00041530747035741953
APACHE+immunosuppressed+mmi,-95.83480837895385,197.6696167579077,0.7485549132947977,APACHE,1.0695358824887737,1.0219266898317905,1.1193630769339507,0.0038090660861720004
APACHE+immunosuppressed+mmi,-95.83480837895385,197.6696167579077,0.7485549132947977,immunosuppressed,1.1050285997420424,0.5807509599763142,2.1026021313811705,0.7609154057301017
APACHE+immunosuppressed+mmi,-95.83480837895385,197.6696167579077,0.7485549132947977,mmi,1.4846440326123607,1.1822631487982478,1.8643631968162038,0.000671724517484325
APACHE+malignancy+mmi,-95.87131064134536,197.74262128269072,0.7475915221579962,mmi,1.4880141963046507,1.1914304420988047,1.8584267869668503,0.0004577345569534178
APACHE+malignancy+mmi,-95.87131064134536,197.74262128269072,0.7475915221579962,malignancy,1.0000537839570847,0.9959797892771346,1.0041444430641957,0.9793985519838762
APACHE+malignancy+mmi,-95.87131064134536,197.74262128269072,0.7475915221579962,APACHE,1.0697454712321082,1.0221511224717204,1.1195559522102523,0.0036901957963938765
APACHE+diabetes+mmi,-95.8713241673394,197.7426483346788,0.7475915221579962,APACHE,1.0697466147041317,1.0221857606636173,1.1195204078444772,0.0036650394949546993
APACHE+diabetes+mmi,-95.8713241673394,197.7426483346788,0.7475915221579962,mmi,1.4880187455326903,1.1914936865420558,1.8583395044943256,0.0004563342461923511
APACHE+diabetes+mmi,-95.8713241673394,197.7426483346788,0.7475915221579962,diabetes,0.999992701453691,0.9999121672304436,1.0000732421632694,0.8590236504151973
APACHE+Ceftriaxone+mmi,-95.87167883454565,197.7433576690913,0.7475915221579962,mmi,1.4880139218450996,1.191520477773853,1.8582856718850953,0.0004556880752356773
APACHE+Ceftriaxone+mmi,-95.87167883454565,197.7433576690913,0.7475915221579962,Ceftriaxone,0.9999635535203071,0.998595258682257,1.0013337232228205,0.9583934344253545
APACHE+Ceftriaxone+mmi,-95.87167883454565,197.7433576690913,0.7475915221579962,APACHE,1.0697461967971358,1.0221861410727915,1.1195191165093725,0.0036646658973028537
APACHE+Zosyn+mmi,-95.87994070740602,197.75988141481204,0.7475915221579962,APACHE,1.0697470941277125,1.0221830946303776,1.1195243312143468,0.0036671006399767595
APACHE+Zosyn+mmi,-95.87994070740602,197.75988141481204,0.7475915221579962,mmi,1.4880535750478854,1.1920848797151051,1.8575048470894002,0.0004433499294062508
APACHE+Zosyn+mmi,-95.87994070740602,197.75988141481204,0.7475915221579962,Zosyn,0.9998457304944238,0.9723139666719722,1.02815707585654,0.9913594162168972
APACHE+Vancomycin+M,-96.2257978800853,198.4515957601706,0.7442196531791907,M,2.564840579225936,1.4165108505656963,4.644092344380481,0.0018743218292265997
APACHE+Vancomycin+M,-96.2257978800853,198.4515957601706,0.7442196531791907,APACHE,1.0622266321676692,1.0186255775780457,1.1076939779669122,0.004758655579654815
APACHE+Vancomycin+M,-96.2257978800853,198.4515957601706,0.7442196531791907,Vancomycin,1.3643037835485516,0.693167409441706,2.6852457118606456,0.36856339930585547
Gender+ARDS+M,-96.2700954792359,198.5401909584718,0.7302504816955684,M,2.6246010471870527,1.3960139353213177,4.934428290867924,0.002737918194518118
Gender+ARDS+M,-96.2700954792359,198.5401909584718,0.7302504816955684,Gender,0.5668579602759407,0.3089009626175649,1.040229672336827,0.06685786702112968
Gender+ARDS+M,-96.2700954792359,198.5401909584718,0.7302504816955684,ARDS,2.23914008174517,1.161833628840876,4.3153754386330005,0.016037467448420672
Age+APACHE+M,-96.43955967910912,198.87911935821825,0.7466281310211946,M,2.5137088485539594,1.3752043648263956,4.594758667811632,0.002742063009011268
Age+APACHE+M,-96.43955967910912,198.87911935821825,0.7466281310211946,Age,1.006471386401328,0.9846597895301883,1.0287661407682114,0.563909673284029
Age+APACHE+M,-96.43955967910912,198.87911935821825,0.7466281310211946,APACHE,1.0661922360401317,1.0234952038104024,1.1106704554746856,0.002114481278186557
Gender+ARDS+mmi,-96.47178644701755,198.9435728940351,0.7292870905587668,mmi,1.4162620995255502,1.1433331609473274,1.7543428311749327,0.0014408841468127344
